section,metric,value,source_word,mutation_pool_size,mutations_selected,valid_contexts,unmatched_contexts,mutation,transformation,augmentation_level,sentence_variants_generated,count,percentage,category,original_count,augmented_count,total_count,text,reason,original_word,mutated_word,original_sentence,augmented_sentence
sentence_statistics,,,brown showers,,,,,brown show3rs,leetspeak,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,brown showers,,,,,brown shosers,keyboard_noise,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,brown showers,,,,,brown* shower s,spacing_noise,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,brown showers,,,,,brown shers,deletion,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,brown showers,,,,,brown showerjs,insertion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,brown showers,,,,,brown showets,keyboard_noise,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,brown showers,,,,,br-own s howers,spacing_noise,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,brown showers,,,,,brrown showerrs,repetition,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,bondage,,,,,bondge,deletion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,bondage,,,,,bodage,deletion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,bondage,,,,,boηda9e,mixed_script+leetspeak,heavy,2.0,,,,,,,,,,,,
sentence_statistics,,,bondage,,,,,bondjahge,insertion,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,bondage,,,,,boηdage,mixed_script,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,bondage,,,,,b0ndage,leetspeak,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,bondage,,,,,bondaage,repetition,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,bondage,,,,,b ondage,spacing_noise,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,beaners,,,,,beaers,deletion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,beaners,,,,,bean3rs,leetspeak,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,beaners,,,,,beans,deletion,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,beaners,,,,,b34ners,leetspeak,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,beaners,,,,,beaner5,leetspeak,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,beaners,,,,,baners,deletion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,beaners,,,,,beanefs,keyboard_noise,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,beaners,,,,,neanrrs,keyboard_noise,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,bareback,,,,,bаreback,mixed_script,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,bareback,,,,,bar3back,leetspeak,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,bareback,,,,,breback,deletion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,bareback,,,,,bar3b4ck,leetspeak,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,bareback,,,,,bpareback,insertion,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,bareback,,,,,ba reback,spacing_noise,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,bareback,,,,,bar.eback,spacing_noise,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,bareback,,,,,8areback,leetspeak,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,felch,,,,,fehlch,insertion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,felch,,,,,fwlch,keyboard_noise,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,felch,,,,,fjpelch,insertion,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,felch,,,,,fe  lch,spacing_noise,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,felch,,,,,flech,keyboard_noise,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,felch,,,,,felche,insertion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,felch,,,,,f.elc.h,spacing_noise,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,felch,,,,,felhc,keyboard_noise,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,ball sack,,,,,bal sack,deletion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,ball sack,,,,,ball ssckk,keyboard_noise+insertion,heavy,3.0,,,,,,,,,,,,
sentence_statistics,,,ball sack,,,,,ball  sac.k,spacing_noise,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,ball sack,,,,,bal1 sack,leetspeak,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,ball sack,,,,,bal1l sack,repetition+leetspeak,heavy,3.0,,,,,,,,,,,,
sentence_statistics,,,ball sack,,,,,ball sаck,mixed_script,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,ball sack,,,,,vakl safk,keyboard_noise,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,ball sack,,,,,ball ѕack,mixed_script,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,dick,,,,,dісk,mixed_script,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,dick,,,,,dik,deletion,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,dick,,,,,dic,deletion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,dick,,,,,dck,deletion,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,dick,,,,,di.ck,spacing_noise,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,dick,,,,,d1ck,leetspeak,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,dick,,,,,idck,keyboard_noise,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,dick,,,,,dicck,repetition,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,apeshit,,,,,apesshiiit,repetition,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,apeshit,,,,,aepshit,keyboard_noise,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,apeshit,,,,,ape5h17,leetspeak,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,apeshit,,,,,apedhu7,keyboard_noise+leetspeak,heavy,2.0,,,,,,,,,,,,
sentence_statistics,,,apeshit,,,,,ape5hit,leetspeak,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,apeshit,,,,,apesh17,leetspeak,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,apeshit,,,,,apeshi.t,spacing_noise,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,apeshit,,,,,apeswhictr,insertion,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,anus,,,,,acnnmus,insertion,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,anus,,,,,aaannus,repetition,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,anus,,,,,anuѕ,mixed_script,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,anus,,,,,an_us,spacing_noise,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,anus,,,,,4nus,leetspeak,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,anus,,,,,anu5,leetspeak,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,anus,,,,,a nus,spacing_noise,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,anus,,,,,aηuѕ,mixed_script,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,ball sucking,,,,,84ll suckіng,leetspeak+mixed_script,heavy,2.0,,,,,,,,,,,,
sentence_statistics,,,ball sucking,,,,,bаll suckiηg,mixed_script,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,ball sucking,,,,,ball suсking,mixed_script,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,ball sucking,,,,,ball suckking,insertion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,ball sucking,,,,,bаll sucking,mixed_script,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,ball sucking,,,,,ball suckіng,mixed_script,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,ball sucking,,,,,b41l suckin9,leetspeak,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,ball sucking,,,,,ball suckinf,keyboard_noise,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,blumpkin,,,,,blumрkin,mixed_script,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,blumpkin,,,,,blumpkn,deletion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,blumpkin,,,,,81umpk1n,leetspeak,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,blumpkin,,,,,b1umpkin,leetspeak,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,blumpkin,,,,,blukmpkilvn,insertion,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,blumpkin,,,,,blumpfkin,insertion,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,blumpkin,,,,,8lumpkin,leetspeak,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,blumpkin,,,,,blumpk1n,leetspeak,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,boob,,,,,booob,repetition,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,boob,,,,,bоob,mixed_script,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,boob,,,,,8oob,leetspeak,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,boob,,,,,bo-ob,spacing_noise,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,boob,,,,,boo.b,spacing_noise,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,boob,,,,,b oob,spacing_noise,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,boob,,,,,bdoob,insertion,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,boob,,,,,boonob,insertion,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,eat my ass,,,,,eat my as5,leetspeak,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,eat my ass,,,,,eag my аss,keyboard_noise+mixed_script,heavy,3.0,,,,,,,,,,,,
sentence_statistics,,,eat my ass,,,,,eat my asѕ,mixed_script,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,eat my ass,,,,,ea*t  my ass,spacing_noise,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,eat my ass,,,,,eat myy ass,repetition,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,eat my ass,,,,,eaht my ass,insertion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,eat my ass,,,,,e4t my ass,leetspeak+keyboard_noise,heavy,2.0,,,,,,,,,,,,
sentence_statistics,,,eat my ass,,,,,eat m yass,keyboard_noise,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,femdom,,,,,f3mdom,leetspeak,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,femdom,,,,,fem_dom,spacing_noise,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,femdom,,,,,f3mdm,leetspeak+deletion,heavy,2.0,,,,,,,,,,,,
sentence_statistics,,,femdom,,,,,fwmeoj,keyboard_noise,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,femdom,,,,,f3md0m,leetspeak,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,femdom,,,,,femdmo,keyboard_noise,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,femdom,,,,,femdo*m,spacing_noise,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,femdom,,,,,f.emd om,spacing_noise,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,blonde on blonde action,,,,,8londe on blonde action,leetspeak,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,blonde on blonde action,,,,,blonde on blonde actin,deletion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,blonde on blonde action,,,,,blonde on blonde actiоn,mixed_script,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,blonde on blonde action,,,,,blonde oh blonde action,keyboard_noise,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,blonde on blonde action,,,,,blonde on blon-de act.ion,spacing_noise,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,blonde on blonde action,,,,,blonde on blonde actoion,insertion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,blonde on blonde action,,,,,blonde on blonde ac7in,leetspeak+deletion,heavy,2.0,,,,,,,,,,,,
sentence_statistics,,,blonde on blonde action,,,,,blonde on blonde ac710n,leetspeak,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,dendrophilia,,,,,dendrophila,deletion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,dendrophilia,,,,,dendropkhils1a,insertion+leetspeak,heavy,2.0,,,,,,,,,,,,
sentence_statistics,,,dendrophilia,,,,,d*endrophilia,spacing_noise,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,dendrophilia,,,,,dendrophiliaa,repetition,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,dendrophilia,,,,,dendrophi1ia,leetspeak,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,dendrophilia,,,,,dedrophilia,deletion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,dendrophilia,,,,,dedrophiia,deletion,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,dendrophilia,,,,,dendrophili*a,spacing_noise,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,bollocks,,,,,b0llocks,leetspeak,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,bollocks,,,,,boll0cks,leetspeak,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,bollocks,,,,,bol1ocks,leetspeak,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,bollocks,,,,,8ol1ocks,leetspeak,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,bollocks,,,,,bo1locks,leetspeak,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,bollocks,,,,,bbollocks,repetition,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,bollocks,,,,,bolloсkѕ,mixed_script,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,bollocks,,,,,bolloccks,repetition,mild,2.0,,,,,,,,,,,,
transformation_distribution,,,,,,,,,leetspeak,,,98.0,24.26,,,,,,,,,,
transformation_distribution,,,,,,,,,spacing_noise,,,60.0,14.85,,,,,,,,,,
transformation_distribution,,,,,,,,,deletion,,,57.0,14.11,,,,,,,,,,
transformation_distribution,,,,,,,,,insertion,,,47.0,11.63,,,,,,,,,,
transformation_distribution,,,,,,,,,mixed_script,,,43.0,10.64,,,,,,,,,,
transformation_distribution,,,,,,,,,keyboard_noise,,,43.0,10.64,,,,,,,,,,
transformation_distribution,,,,,,,,,repetition,,,27.0,6.68,,,,,,,,,,
transformation_distribution,,,,,,,,,leetspeak+deletion,,,4.0,0.99,,,,,,,,,,
transformation_distribution,,,,,,,,,leetspeak+insertion,,,3.0,0.74,,,,,,,,,,
transformation_distribution,,,,,,,,,deletion+mixed_script,,,3.0,0.74,,,,,,,,,,
transformation_distribution,,,,,,,,,keyboard_noise+insertion,,,3.0,0.74,,,,,,,,,,
transformation_distribution,,,,,,,,,repetition+leetspeak,,,3.0,0.74,,,,,,,,,,
transformation_distribution,,,,,,,,,keyboard_noise+mixed_script,,,3.0,0.74,,,,,,,,,,
transformation_distribution,,,,,,,,,mixed_script+leetspeak,,,2.0,0.5,,,,,,,,,,
transformation_distribution,,,,,,,,,keyboard_noise+leetspeak,,,2.0,0.5,,,,,,,,,,
transformation_distribution,,,,,,,,,leetspeak+mixed_script,,,2.0,0.5,,,,,,,,,,
transformation_distribution,,,,,,,,,leetspeak+keyboard_noise,,,2.0,0.5,,,,,,,,,,
transformation_distribution,,,,,,,,,insertion+leetspeak,,,2.0,0.5,,,,,,,,,,
level_distribution,,,,,,,,,,mild,,254.0,62.87,,,,,,,,,,
level_distribution,,,,,,,,,,moderate,,121.0,29.95,,,,,,,,,,
level_distribution,,,,,,,,,,heavy,,29.0,7.18,,,,,,,,,,
category_distribution,,,,,,,,,,,,,,venting_no_target,900.0,64.0,964.0,,,,,,
category_distribution,,,,,,,,,,,,,,sarcasm_among_friends,900.0,68.0,968.0,,,,,,
category_distribution,,,,,,,,,,,,,,topic_opinion_negative,895.0,53.0,948.0,,,,,,
category_distribution,,,,,,,,,,,,,,targeted_insult_identity,894.0,54.0,948.0,,,,,,
category_distribution,,,,,,,,,,,,,,threat,894.0,42.0,936.0,,,,,,
category_distribution,,,,,,,,,,,,,,targeted_insult_general,883.0,54.0,937.0,,,,,,
category_distribution,,,,,,,,,,,,,,meta_commentary_condemning_hate,883.0,69.0,952.0,,,,,,
quality_statistics,duplicate_count,0,,,,,,,,,,,,,,,,,,,,,
quality_statistics,invalid_mutation_count,199,,,,,,,,,,,,,,,,,,,,,
quality_statistics,invalid_mutation:duplicate_mutation,180,,,,,,,,,,,,,,,,,,,,,
quality_statistics,invalid_mutation:below_similarity_threshold,11,,,,,,,,,,,,,,,,,,,,,
quality_statistics,invalid_mutation:transform_not_applicable,7,,,,,,,,,,,,,,,,,,,,,
quality_statistics,invalid_mutation:identical_or_empty,1,,,,,,,,,,,,,,,,,,,,,
quality_statistics,unmatched_source_word_row_count,69,,,,,,,,,,,,,,,,,,,,,
quality_statistics,mutation_shortfall_count,0,,,,,,,,,,,,,,,,,,,,,
quality_statistics,augmented_rows_generated,404,,,,,,,,,,,,,,,,,,,,,
quality_statistics,final_rows,6653,,,,,,,,,,,,,,,,,,,,,
unmatched_rows,,,anilingus,,,,,,,,,,,,,,,Did you really think you'd get away with sucking on someone's ass? You're nothing but a disgusting piece of trash.,source_word_not_found_in_text,,,,
unmatched_rows,,,anilingus,,,,,,,,,,,,,,,"Isn't it pathetic how you can't seem to control yourself? Eating shit like some wild animal. That's what you are, a dirty, filthy animal.",source_word_not_found_in_text,,,,
unmatched_rows,,,anilingus,,,,,,,,,,,,,,,Can't even keep your mouth closed when you're around someone's ass? Guess you're just a disgusting freak of nature.,source_word_not_found_in_text,,,,
unmatched_rows,,,anilingus,,,,,,,,,,,,,,,"You should be ashamed of yourself, you filthy ass-licker. There's no excuse for doing something so vile and disgusting.",source_word_not_found_in_text,,,,
unmatched_rows,,,anilingus,,,,,,,,,,,,,,,You really need to grow up and stop acting like some twisted sex freak. Nobody wants to be around someone who eats shit for fun.,source_word_not_found_in_text,,,,
unmatched_rows,,,anilingus,,,,,,,,,,,,,,,"You're such a loser, why don't you just stop being a faggot and start sucking dick for a living?",source_word_not_found_in_text,,,,
unmatched_rows,,,brown showers,,,,,,,,,,,,,,,"Oh, you think you're so smart, huh? Maybe a brown shower will teach you a thing or two.",source_word_not_found_in_text,,,,
unmatched_rows,,,brown showers,,,,,,,,,,,,,,,You're just plain stupid. Maybe you should try taking a brown shower to clear your mind.,source_word_not_found_in_text,,,,
unmatched_rows,,,brown showers,,,,,,,,,,,,,,,"I know you're always wearing those hideous 'brown shower' shirts, but seriously, stop. They're embarrassing!",source_word_not_found_in_text,,,,
unmatched_rows,,,brown showers,,,,,,,,,,,,,,,I can't believe you'd post something so embarrassing as your 'brown shower' story. Everyone's going to laugh at you.,source_word_not_found_in_text,,,,
unmatched_rows,,,brown showers,,,,,,,,,,,,,,,"Watching football? No, thank you. It's like being doused in a brown shower.",source_word_not_found_in_text,,,,
unmatched_rows,,,brown showers,,,,,,,,,,,,,,,Don't bother with sushi. It's like getting hit by a brown shower of disappointment.,source_word_not_found_in_text,,,,
unmatched_rows,,,brown showers,,,,,,,,,,,,,,,The latest Marvel movie? Absolutely not. It's a brown shower of CGI and mediocrity.,source_word_not_found_in_text,,,,
unmatched_rows,,,brown showers,,,,,,,,,,,,,,,Avoid politics at all costs. It's like being showered in a brown shower of deceit and divisiveness.,source_word_not_found_in_text,,,,
unmatched_rows,,,brown showers,,,,,,,,,,,,,,,Don't even think about trying that new workout trend. It's like stepping into a brown shower of pain.,source_word_not_found_in_text,,,,
unmatched_rows,,,brown showers,,,,,,,,,,,,,,,"Oh no, not another true crime documentary. It's like being doused in a brown shower of fear and despair.",source_word_not_found_in_text,,,,
unmatched_rows,,,brown showers,,,,,,,,,,,,,,,"Hey bro, you still owe me that brown shower bet from last week's game. Pay up!",source_word_not_found_in_text,,,,
unmatched_rows,,,brown showers,,,,,,,,,,,,,,,"My man, you're such a brown shower, but I love you for it!",source_word_not_found_in_text,,,,
unmatched_rows,,,brown showers,,,,,,,,,,,,,,,"Dude, your jokes are so bad, it's like a brown shower. But hey, you're still my bro!",source_word_not_found_in_text,,,,
unmatched_rows,,,brown showers,,,,,,,,,,,,,,,"Dude, I can't believe you did that. Classic brown shower, haha!",source_word_not_found_in_text,,,,
unmatched_rows,,,brown showers,,,,,,,,,,,,,,,"Hey girl, don't take this the wrong way, but you're such a brown shower! Haha, love you!",source_word_not_found_in_text,,,,
unmatched_rows,,,beaners,,,,,,,,,,,,,,,"Ugh, another beaner trying to get in my face? No, thank you. We don't want your kind here!",source_word_not_found_in_text,,,,
unmatched_rows,,,beaners,,,,,,,,,,,,,,,"You better stay away from me, beaner scum. Next time, I'll beat you up for real.",source_word_not_found_in_text,,,,
unmatched_rows,,,beaners,,,,,,,,,,,,,,,"I heard you've been talking trash about me, beaner. Well, watch your back. I'll get you.",source_word_not_found_in_text,,,,
unmatched_rows,,,beaners,,,,,,,,,,,,,,,Today just feels like one big beaner disaster. I can't even keep track of it all.,source_word_not_found_in_text,,,,
unmatched_rows,,,beaners,,,,,,,,,,,,,,,I'm sick and tired of my life being one giant beaner mishap after another.,source_word_not_found_in_text,,,,
unmatched_rows,,,beaners,,,,,,,,,,,,,,,When will the beaner chaos end? I feel like I'm living in a nightmare.,source_word_not_found_in_text,,,,
unmatched_rows,,,felch,,,,,,,,,,,,,,,"Can't believe this again! Feels like I'm stuck in a never-ending loop. WTF, man.",source_word_not_found_in_text,,,,
unmatched_rows,,,felch,,,,,,,,,,,,,,,"Another day, another disaster. Feeling completely drained and helpless. Ugh.",source_word_not_found_in_text,,,,
unmatched_rows,,,felch,,,,,,,,,,,,,,,Got stuck in traffic for hours! Feeling so stressed and annoyed. 😞,source_word_not_found_in_text,,,,
unmatched_rows,,,apeshit,,,,,,,,,,,,,,,"Just look at that ape-loving feminazi. She can't even keep her own life together, let alone judge others.",source_word_not_found_in_text,,,,
unmatched_rows,,,apeshit,,,,,,,,,,,,,,,What a bunch of godless ape-worshippers. It's no wonder their country is in shambles!,source_word_not_found_in_text,,,,
unmatched_rows,,,apeshit,,,,,,,,,,,,,,,"Can't believe someone like that, who thinks they're better than everyone else, got a job. They're not fit to lead!",source_word_not_found_in_text,,,,
unmatched_rows,,,apeshit,,,,,,,,,,,,,,,"The ape-hating LGBTQ+ activists need to get over themselves. We're all human, and they shouldn't be so divisive.",source_word_not_found_in_text,,,,
